N/A,Sample1,IR88888-UBN3-4,0,"IR^88888-UBN3-4	;space expected between IR and plant number#IR88888^-UBN3-4	;string pattern not recognized. #IR88888-UBN^3-4	;space expected between location code and plant number#IR88888-UBN3^-4	;string pattern not recognized. #",N/A,Sample3,1,in standardized format,"Sample3
Sample1"
N/A,IR 87707-118-B-B-B/IR 71701-28-1-4,IR 69428-6-1-1-3-3,714,in standardized format,"IR 69428#IR 69428-6#IR 69428-6-1#IR 69428-6-1-1#IR 69428-6-1-1-3#IR 69428-6-1-1-3-3",IR 71676-90-2-2,715,in standardized format,"IR 71676#IR 71676-90#IR 71676-90-2#IR 71676-90-2-2
IR 87707-118-B-B-B/IR 71701-28-1-4"
N/A,IR 87707-118-B-B-B/IR 72164-348-6-2-2-2,IR 87707-118-B-B-B,716,in standardized format,"IR 87707#IR 87707-118#IR 87707-118-B#IR 87707-118-B-B#IR 87707-118-B-B-B",IR 71701-28-1-4,717,in standardized format,"IR 71701#IR 71701-28#IR 71701-28-1#IR 71701-28-1-4
IR 87707-118-B-B-B/IR 72164-348-6-2-2-2"
N/A,IR 87707-118-B-B-B/IR 72225-20-3-2-3,IR 87707-118-B-B-B,718,in standardized format,"IR 87707#IR 87707-118#IR 87707-118-B#IR 87707-118-B-B#IR 87707-118-B-B-B",IR 72164-348-6-2-2-2,719,in standardized format,"IR 72164#IR 72164-348#IR 72164-348-6#IR 72164-348-6-2#IR 72164-348-6-2-2#IR 72164-348-6-2-2-2
IR 87707-118-B-B-B/IR 72225-20-3-2-3"
N/A,IR 87707-118-B-B-B/IR 72870-19-2-2-3,IR 87707-118-B-B-B,720,in standardized format,"IR 87707#IR 87707-118#IR 87707-118-B#IR 87707-118-B-B#IR 87707-118-B-B-B",IR 72225-20-3-2-3,721,in standardized format,"IR 72225#IR 72225-20#IR 72225-20-3#IR 72225-20-3-2#IR 72225-20-3-2-3
IR 87707-118-B-B-B/IR 72870-19-2-2-3"
N/A,IR 87707-446-B-B-B/IR 72875-94-3-3-2,IR 87707-118-B-B-B,722,in standardized format,"IR 87707#IR 87707-118#IR 87707-118-B#IR 87707-118-B-B#IR 87707-118-B-B-B",IR 72870-19-2-2-3,723,in standardized format,"IR 72870#IR 72870-19#IR 72870-19-2#IR 72870-19-2-2#IR 72870-19-2-2-3
IR 87707-446-B-B-B/IR 72875-94-3-3-2"
N/A,IR 87707-446-B-B-B/IR 72903-121-2-1-2,IR 87707-446-B-B-B,724,in standardized format,"IR 87707#IR 87707-446#IR 87707-446-B#IR 87707-446-B-B#IR 87707-446-B-B-B",IR 72875-94-3-3-2,725,in standardized format,"IR 72875#IR 72875-94#IR 72875-94-3#IR 72875-94-3-3#IR 72875-94-3-3-2
IR 87707-446-B-B-B/IR 72903-121-2-1-2"
N/A,IR 87707-446-B-B-B/IR 72967-12-2-3,IR 87707-446-B-B-B,726,in standardized format,"IR 87707#IR 87707-446#IR 87707-446-B#IR 87707-446-B-B#IR 87707-446-B-B-B",IR 72903-121-2-1-2,727,in standardized format,"IR 72903#IR 72903-121#IR 72903-121-2#IR 72903-121-2-1#IR 72903-121-2-1-2
IR 87707-446-B-B-B/IR 72967-12-2-3"
N/A,IR 87707-446-B-B-B/IR 72969-143-5-3-6-2,IR 87707-446-B-B-B,728,in standardized format,"IR 87707#IR 87707-446#IR 87707-446-B#IR 87707-446-B-B#IR 87707-446-B-B-B",IR 72967-12-2-3,729,in standardized format,"IR 72967#IR 72967-12#IR 72967-12-2#IR 72967-12-2-3
IR 87707-446-B-B-B/IR 72969-143-5-3-6-2"
N/A,IR 87707-182-B-B-B/IR 73006-12-3-3-2,IR 87707-446-B-B-B,730,in standardized format,"IR 87707#IR 87707-446#IR 87707-446-B#IR 87707-446-B-B#IR 87707-446-B-B-B",IR 72969-143-5-3-6-2,731,in standardized format,"IR 72969#IR 72969-143#IR 72969-143-5#IR 72969-143-5-3#IR 72969-143-5-3-6#IR 72969-143-5-3-6-2
IR 87707-182-B-B-B/IR 73006-12-3-3-2"
N/A,IR 87707-182-B-B-B/IR 73012-137-2-2-2,IR 87707-182-B-B-B,732,in standardized format,"IR 87707#IR 87707-182#IR 87707-182-B#IR 87707-182-B-B#IR 87707-182-B-B-B",IR 73006-12-3-3-2,733,in standardized format,"IR 73006#IR 73006-12#IR 73006-12-3#IR 73006-12-3-3#IR 73006-12-3-3-2
IR 87707-182-B-B-B/IR 73012-137-2-2-2"
N/A,IR 87707-182-B-B-B/IR 00A115,IR 87707-182-B-B-B,734,in standardized format,"IR 87707#IR 87707-182#IR 87707-182-B#IR 87707-182-B-B#IR 87707-182-B-B-B",IR 73012-137-2-2-2,735,in standardized format,"IR 73012#IR 73012-137#IR 73012-137-2#IR 73012-137-2-2#IR 73012-137-2-2-2
IR 87707-182-B-B-B/IR 00A115"
N/A,IR 87707-182-B-B-B/IR 73720-36-3-3-1,IR 87707-182-B-B-B,736,in standardized format,"IR 87707#IR 87707-182#IR 87707-182-B#IR 87707-182-B-B#IR 87707-182-B-B-B",IR 00A115,737,"IR ^00A115	;unexpected space is found#IR 00A115	;string pattern not recognized #",N/A
N/A,IR 87707-445-B-B-B/IR 00A117,IR 87707-182-B-B-B,738,in standardized format,"IR 87707#IR 87707-182#IR 87707-182-B#IR 87707-182-B-B#IR 87707-182-B-B-B",IR 73720-36-3-3-1,739,in standardized format,"IR 73720#IR 73720-36#IR 73720-36-3#IR 73720-36-3-3#IR 73720-36-3-3-1
IR 87707-445-B-B-B/IR 00A117"
N/A,IR 87707-445-B-B-B/IR 01A111,IR 87707-445-B-B-B,740,in standardized format,"IR 87707#IR 87707-445#IR 87707-445-B#IR 87707-445-B-B#IR 87707-445-B-B-B",IR 00A117,741,"IR ^00A117	;unexpected space is found#IR 00A117	;string pattern not recognized #",N/A
N/A,IR 87707-445-B-B-B/IR 01N223,IR 87707-445-B-B-B,742,in standardized format,"IR 87707#IR 87707-445#IR 87707-445-B#IR 87707-445-B-B#IR 87707-445-B-B-B",IR 01A111,743,"IR ^01A111	;unexpected space is found#IR 01A111	;string pattern not recognized #",N/A
N/A,IR 87707-445-B-B-B/IR 02N200,IR 87707-445-B-B-B,744,in standardized format,"IR 87707#IR 87707-445#IR 87707-445-B#IR 87707-445-B-B#IR 87707-445-B-B-B",IR 01N223,745,"IR ^01N223	;unexpected space is found#IR 01N223	;string pattern not recognized #",N/A
N/A,IR 87705-83-12-B/IR 02N211,IR 87707-445-B-B-B,746,in standardized format,"IR 87707#IR 87707-445#IR 87707-445-B#IR 87707-445-B-B#IR 87707-445-B-B-B",IR 02N200,747,"IR ^02N200	;unexpected space is found#IR 02N200	;string pattern not recognized #",N/A
N/A,IR 87705-83-12-B/IR 02A201,IR 87705-83-12-B,748,in standardized format,"IR 87705#IR 87705-83#IR 87705-83-12#IR 87705-83-12-B",IR 02N211,749,"IR ^02N211	;unexpected space is found#IR 02N211	;string pattern not recognized #",N/A
N/A,IR 87705-83-12-B/IR 75862-206-2-8-3-B-B-B,IR 87705-83-12-B,750,in standardized format,"IR 87705#IR 87705-83#IR 87705-83-12#IR 87705-83-12-B",IR 02A201,751,"IR ^02A201	;unexpected space is found#IR 02A201	;string pattern not recognized #",N/A
N/A,IR 87705-83-12-B/IRRI 146,IR 87705-83-12-B,752,in standardized format,"IR 87705#IR 87705-83#IR 87705-83-12#IR 87705-83-12-B",IR 75862-206-2-8-3-B-B-B,753,in standardized format,"IR 75862#IR 75862-206#IR 75862-206-2#IR 75862-206-2-8#IR 75862-206-2-8-3#IR 75862-206-2-8-3-B#IR 75862-206-2-8-3-B-B#IR 75862-206-2-8-3-B-B-B
IR 87705-83-12-B/IRRI 146"
N/A,MAJOR/IRRI 143,IR 87705-83-12-B,754,in standardized format,"IR 87705#IR 87705-83#IR 87705-83-12#IR 87705-83-12-B",IRRI 146,755,in standardized format,"IRRI 146
MAJOR/IRRI 143"
N/A,MAJOR/IR 03A477,MAJOR,756,in standardized format,"MAJOR",IRRI 143,757,in standardized format,"IRRI 143
MAJOR/IR 03A477"
N/A,MAJOR/IR 04A213,MAJOR,758,in standardized format,"MAJOR",IR 03A477,759,"IR ^03A477	;unexpected space is found#IR 03A477	;string pattern not recognized #",N/A
N/A,MAJOR/IR 03A550,MAJOR,760,in standardized format,"MAJOR",IR 04A213,761,"IR ^04A213	;unexpected space is found#IR 04A213	;string pattern not recognized #",N/A
N/A,LAPANG/IR 03A568,MAJOR,762,in standardized format,"MAJOR",IR 03A550,763,"IR ^03A550	;unexpected space is found#IR 03A550	;string pattern not recognized #",N/A
N/A,LAPANG/IR 04A285,LAPANG,764,in standardized format,"LAPANG",IR 03A568,765,"IR ^03A568	;unexpected space is found#IR 03A568	;string pattern not recognized #",N/A
N/A,LAPANG/IRRI 154,LAPANG,766,in standardized format,"LAPANG",IR 04A285,767,"IR ^04A285	;unexpected space is found#IR 04A285	;string pattern not recognized #",N/A
N/A,LAPANG/IR 04A427,LAPANG,768,in standardized format,"LAPANG",IRRI 154,769,in standardized format,"IRRI 154
LAPANG/IR 04A427"
N/A,BEA BALOK LOAS/IR 05A117,LAPANG,770,in standardized format,"LAPANG",IR 04A427,771,"IR ^04A427	;unexpected space is found#IR 04A427	;string pattern not recognized #",N/A
N/A,BEA BALOK LOAS/IR 05A125,BEA BALOK LOAS,772,in standardized format,"BEA BALOK LOAS",IR 05A117,773,"IR ^05A117	;unexpected space is found#IR 05A117	;string pattern not recognized #",N/A
N/A,BEA BALOK LOAS/IR 05N128,BEA BALOK LOAS,774,in standardized format,"BEA BALOK LOAS",IR 05A125,775,"IR ^05A125	;unexpected space is found#IR 05A125	;string pattern not recognized #",N/A
N/A,BEA BALOK LOAS/IR 05N160,BEA BALOK LOAS,776,in standardized format,"BEA BALOK LOAS",IR 05N128,777,"IR ^05N128	;unexpected space is found#IR 05N128	;string pattern not recognized #",N/A
N/A,RONTJE/IR 05N170,BEA BALOK LOAS,778,in standardized format,"BEA BALOK LOAS",IR 05N160,779,"IR ^05N160	;unexpected space is found#IR 05N160	;string pattern not recognized #",N/A
N/A,RONTJE/IR 05N173,RONTJE,780,in standardized format,"RONTJE",IR 05N170,781,"IR ^05N170	;unexpected space is found#IR 05N170	;string pattern not recognized #",N/A
N/A,RONTJE/IR 05N181,RONTJE,782,in standardized format,"RONTJE",IR 05N173,783,"IR ^05N173	;unexpected space is found#IR 05N173	;string pattern not recognized #",N/A
N/A,RONTJE/IR 05N204,RONTJE,784,in standardized format,"RONTJE",IR 05N181,785,"IR ^05N181	;unexpected space is found#IR 05N181	;string pattern not recognized #",N/A
N/A,LERI/IR 06M138,RONTJE,786,in standardized format,"RONTJE",IR 05N204,787,"IR ^05N204	;unexpected space is found#IR 05N204	;string pattern not recognized #",N/A
N/A,LERI/IR 06M139,LERI,788,in standardized format,"LERI",IR 06M138,789,"IR ^06M138	;unexpected space is found#IR 06M138	;string pattern not recognized #",N/A
N/A,LERI/IR 06M146,LERI,790,in standardized format,"LERI",IR 06M139,791,"IR ^06M139	;unexpected space is found#IR 06M139	;string pattern not recognized #",N/A
N/A,LERI/IR 06N156,LERI,792,in standardized format,"LERI",IR 06M146,793,"IR ^06M146	;unexpected space is found#IR 06M146	;string pattern not recognized #",N/A
N/A,BEAQ PENDJALIN/JORYEONGBYEO,LERI,794,in standardized format,"LERI",IR 06N156,795,"IR ^06N156	;unexpected space is found#IR 06N156	;string pattern not recognized #",N/A
N/A,BEAQ PENDJALIN/IR 49830-7-1-2-3,BEAQ PENDJALIN,796,in standardized format,"BEAQ PENDJALIN",JORYEONGBYEO,797,in standardized format,"JORYEONGBYEO
BEAQ PENDJALIN/IR 49830-7-1-2-3"
N/A,BEAQ PENDJALIN/IR 70181-32-PMI 1-1-5-1,BEAQ PENDJALIN,798,in standardized format,"BEAQ PENDJALIN",IR 49830-7-1-2-3,799,in standardized format,"IR 49830#IR 49830-7#IR 49830-7-1#IR 49830-7-1-2#IR 49830-7-1-2-3
BEAQ PENDJALIN/IR 70181-32-PMI 1-1-5-1"
N/A,BEAQ PENDJALIN/IR 05F102,BEAQ PENDJALIN,800,in standardized format,"BEAQ PENDJALIN",IR 70181-32-PMI 1-1-5-1,801,in standardized format,"IR 70181#IR 70181-32#IR 70181-32-PMI 1#IR 70181-32-PMI 1-1#IR 70181-32-PMI 1-1-5#IR 70181-32-PMI 1-1-5-1
BEAQ PENDJALIN/IR 05F102"
N/A,BUNGA MEHU/IR 09F120,BEAQ PENDJALIN,802,in standardized format,"BEAQ PENDJALIN",IR 05F102,803,"IR ^05F102	;unexpected space is found#IR 05F102	;string pattern not recognized #",N/A
N/A,BUNGA MEHU/IR 09F128,BUNGA MEHU,804,in standardized format,"BUNGA MEHU",IR 09F120,805,"IR ^09F120	;unexpected space is found#IR 09F120	;string pattern not recognized #",N/A
N/A,BUNGA MEHU/IRRI 149,BUNGA MEHU,806,in standardized format,"BUNGA MEHU",IR 09F128,807,"IR ^09F128	;unexpected space is found#IR 09F128	;string pattern not recognized #",N/A
N/A,BUNGA MEHU/IR 07F287,BUNGA MEHU,808,in standardized format,"BUNGA MEHU",IRRI 149,809,in standardized format,"IRRI 149
BUNGA MEHU/IR 07F287"
N/A,CICIH GEDU/IR 09F146,BUNGA MEHU,810,in standardized format,"BUNGA MEHU",IR 07F287,811,"IR ^07F287	;unexpected space is found#IR 07F287	;string pattern not recognized #",N/A
N/A,CICIH GEDU/IR 09F154,CICIH GEDU,812,in standardized format,"CICIH GEDU",IR 09F146,813,"IR ^09F146	;unexpected space is found#IR 09F146	;string pattern not recognized #",N/A
N/A,CICIH GEDU/IR 09F230,CICIH GEDU,814,in standardized format,"CICIH GEDU",IR 09F154,815,"IR ^09F154	;unexpected space is found#IR 09F154	;string pattern not recognized #",N/A
N/A,CICIH GEDU/IR 09F226,CICIH GEDU,816,in standardized format,"CICIH GEDU",IR 09F230,817,"IR ^09F230	;unexpected space is found#IR 09F230	;string pattern not recognized #",N/A
N/A,DJAMBUAN/IR 09F237,CICIH GEDU,818,in standardized format,"CICIH GEDU",IR 09F226,819,"IR ^09F226	;unexpected space is found#IR 09F226	;string pattern not recognized #",N/A
N/A,DJAMBUAN/IR 09F238,DJAMBUAN,820,in standardized format,"DJAMBUAN",IR 09F237,821,"IR ^09F237	;unexpected space is found#IR 09F237	;string pattern not recognized #",N/A
N/A,DJAMBUAN/IR 07F290,DJAMBUAN,822,in standardized format,"DJAMBUAN",IR 09F238,823,"IR ^09F238	;unexpected space is found#IR 09F238	;string pattern not recognized #",N/A
N/A,DJAMBUAN/IR 07F291,DJAMBUAN,824,in standardized format,"DJAMBUAN",IR 07F290,825,"IR ^07F290	;unexpected space is found#IR 07F290	;string pattern not recognized #",N/A
N/A,DJAWA MUGI/IR 07F289,DJAMBUAN,826,in standardized format,"DJAMBUAN",IR 07F291,827,"IR ^07F291	;unexpected space is found#IR 07F291	;string pattern not recognized #",N/A
N/A,DJAWA MUGI/IR 09F260,DJAWA MUGI,828,in standardized format,"DJAWA MUGI",IR 07F289,829,"IR ^07F289	;unexpected space is found#IR 07F289	;string pattern not recognized #",N/A
N/A,DJAWA MUGI/IR 09F209,DJAWA MUGI,830,in standardized format,"DJAWA MUGI",IR 09F260,831,"IR ^09F260	;unexpected space is found#IR 09F260	;string pattern not recognized #",N/A
N/A,DJAWA MUGI/IR 09F218,DJAWA MUGI,832,in standardized format,"DJAWA MUGI",IR 09F209,833,"IR ^09F209	;unexpected space is found#IR 09F209	;string pattern not recognized #",N/A
N/A,GENDJAH URANG/IR 09F291,DJAWA MUGI,834,in standardized format,"DJAWA MUGI",IR 09F218,835,"IR ^09F218	;unexpected space is found#IR 09F218	;string pattern not recognized #",N/A
N/A,GENDJAH URANG/IR 67495-NDR 2-1-1-1-1,GENDJAH URANG,836,in standardized format,"GENDJAH URANG",IR 09F291,837,"IR ^09F291	;unexpected space is found#IR 09F291	;string pattern not recognized #",N/A
N/A,GENDJAH URANG/ANJALI,GENDJAH URANG,838,in standardized format,"GENDJAH URANG",IR 67495-NDR 2-1-1-1-1,839,"IR 67495-NDR 2^-1-1-1-1	;string pattern not recognized. #",N/A
N/A,GENDJAH URANG/BR 11,GENDJAH URANG,840,in standardized format,"GENDJAH URANG",ANJALI,841,in standardized format,"ANJALI
GENDJAH URANG/BR 11"
N/A,LAMBANG PUTIH/IR 07F290,GENDJAH URANG,842,in standardized format,"GENDJAH URANG",BR 11,843,in standardized format,"BR 11
LAMBANG PUTIH/IR 07F290"
N/A,LAMBANG PUTIH/CT 9993-5-10-1-M,LAMBANG PUTIH,844,in standardized format,"LAMBANG PUTIH",IR 07F290,845,"IR ^07F290	;unexpected space is found#IR 07F290	;string pattern not recognized #",N/A
N/A,LAMBANG PUTIH/IRRI 149,LAMBANG PUTIH,846,in standardized format,"LAMBANG PUTIH",CT 9993-5-10-1-M,847,in standardized format,"CT 9993#CT 9993-5#CT 9993-5-10#CT 9993-5-10-1#CT 9993-5-10-1-M
LAMBANG PUTIH/IRRI 149"
N/A,LAMBANG PUTIH/IR 71700-247-1-1-2,LAMBANG PUTIH,848,in standardized format,"LAMBANG PUTIH",IRRI 149,849,in standardized format,"IRRI 149
LAMBANG PUTIH/IR 71700-247-1-1-2"
N/A,MANURUN BULU/IR 03L142,LAMBANG PUTIH,850,in standardized format,"LAMBANG PUTIH",IR 71700-247-1-1-2,851,in standardized format,"IR 71700#IR 71700-247#IR 71700-247-1#IR 71700-247-1-1#IR 71700-247-1-1-2
MANURUN BULU/IR 03L142"
N/A,MANURUN BULU/IRRI 148,MANURUN BULU,852,in standardized format,"MANURUN BULU",IR 03L142,853,"IR ^03L142	;unexpected space is found#IR 03L142	;string pattern not recognized #",N/A
N/A,MANURUN BULU/IR 01A163,MANURUN BULU,854,in standardized format,"MANURUN BULU",IRRI 148,855,in standardized format,"IRRI 148
MANURUN BULU/IR 01A163"
N/A,MANURUN BULU/IR 77298-14-1-2-10,MANURUN BULU,856,in standardized format,"MANURUN BULU",IR 01A163,857,"IR ^01A163	;unexpected space is found#IR 01A163	;string pattern not recognized #",N/A
N/A,SUKANANDI/IR 77298-5-6-18,MANURUN BULU,858,in standardized format,"MANURUN BULU",IR 77298-14-1-2-10,859,in standardized format,"IR 77298#IR 77298-14#IR 77298-14-1#IR 77298-14-1-2#IR 77298-14-1-2-10
SUKANANDI/IR 77298-5-6-18"
N/A,SUKANANDI/IR 78875-176-B-2,SUKANANDI,860,in standardized format,"SUKANANDI",IR 77298-5-6-18,861,in standardized format,"IR 77298#IR 77298-5#IR 77298-5-6#IR 77298-5-6-18
SUKANANDI/IR 78875-176-B-2"
N/A,SUKANANDI/IR 78875-190-B-1-3,SUKANANDI,862,in standardized format,"SUKANANDI",IR 78875-176-B-2,863,in standardized format,"IR 78875#IR 78875-176#IR 78875-176-B#IR 78875-176-B-2
SUKANANDI/IR 78875-190-B-1-3"
N/A,SUKANANDI/IR 78908-143-B-4,SUKANANDI,864,in standardized format,"SUKANANDI",IR 78875-190-B-1-3,865,in standardized format,"IR 78875#IR 78875-190#IR 78875-190-B#IR 78875-190-B-1#IR 78875-190-B-1-3
SUKANANDI/IR 78908-143-B-4"
N/A,NOGO BELE 2/IR 78985-B-6-B-B-B,SUKANANDI,866,in standardized format,"SUKANANDI",IR 78908-143-B-4,867,in standardized format,"IR 78908#IR 78908-143#IR 78908-143-B#IR 78908-143-B-4
NOGO BELE 2/IR 78985-B-6-B-B-B"
N/A,NOGO BELE 2/IR 79913-B-176-B-4,NOGO BELE 2,868,in standardized format,"NOGO BELE 2",IR 78985-B-6-B-B-B,869,in standardized format,"IR 78985#IR 78985-B#IR 78985-B-6#IR 78985-B-6-B#IR 78985-B-6-B-B#IR 78985-B-6-B-B-B
NOGO BELE 2/IR 79913-B-176-B-4"
N/A,NOGO BELE 2/IR 79971-B-369,NOGO BELE 2,870,in standardized format,"NOGO BELE 2",IR 79913-B-176-B-4,871,in standardized format,"IR 79913#IR 79913-B#IR 79913-B-176#IR 79913-B-176-B#IR 79913-B-176-B-4
NOGO BELE 2/IR 79971-B-369"
N/A,NOGO BELE 2/IR 79971-B-381,NOGO BELE 2,872,in standardized format,"NOGO BELE 2",IR 79971-B-369,873,in standardized format,"IR 79971#IR 79971-B#IR 79971-B-369
NOGO BELE 2/IR 79971-B-381"
N/A,PARADA/IR 81039-B-173-U 3-3,NOGO BELE 2,874,in standardized format,"NOGO BELE 2",IR 79971-B-381,875,in standardized format,"IR 79971#IR 79971-B#IR 79971-B-381
PARADA/IR 81039-B-173-U 3-3"
N/A,PARADA/IR 81063-B-94-U 3-1,PARADA,876,in standardized format,"PARADA",IR 81039-B-173-U 3-3,877,"IR 81039-B-173-U 3^-3	;string pattern not recognized. #",N/A
N/A,PARADA/IR 68450-36-3-2-2-3,PARADA,878,in standardized format,"PARADA",IR 81063-B-94-U 3-1,879,"IR 81063-B-94-U 3^-1	;string pattern not recognized. #",N/A
N/A,PARADA/IR 69428-6-1-1-3-3,PARADA,880,in standardized format,"PARADA",IR 68450-36-3-2-2-3,881,in standardized format,"IR 68450#IR 68450-36#IR 68450-36-3#IR 68450-36-3-2#IR 68450-36-3-2-2#IR 68450-36-3-2-2-3
PARADA/IR 69428-6-1-1-3-3"
N/A,PARE BEUREUM/IR 69807-13-2-1,PARADA,882,in standardized format,"PARADA",IR 69428-6-1-1-3-3,883,in standardized format,"IR 69428#IR 69428-6#IR 69428-6-1#IR 69428-6-1-1#IR 69428-6-1-1-3#IR 69428-6-1-1-3-3
PARE BEUREUM/IR 69807-13-2-1"
N/A,PARE BEUREUM/IR 70114-5-3-3-3,PARE BEUREUM,884,in standardized format,"PARE BEUREUM",IR 69807-13-2-1,885,in standardized format,"IR 69807#IR 69807-13#IR 69807-13-2#IR 69807-13-2-1
PARE BEUREUM/IR 70114-5-3-3-3"
N/A,PARE BEUREUM/IR 01W102,PARE BEUREUM,886,in standardized format,"PARE BEUREUM",IR 70114-5-3-3-3,887,in standardized format,"IR 70114#IR 70114-5#IR 70114-5-3#IR 70114-5-3-3#IR 70114-5-3-3-3
PARE BEUREUM/IR 01W102"
N/A,PARE BEUREUM/IRRI 145,PARE BEUREUM,888,in standardized format,"PARE BEUREUM",IR 01W102,889,"IR ^01W102	;unexpected space is found#IR 01W102	;string pattern not recognized #",N/A
N/A,PARE PUTIH SENGIH/IR 71146-97-1-2-1-3,PARE BEUREUM,890,in standardized format,"PARE BEUREUM",IRRI 145,891,in standardized format,"IRRI 145
PARE PUTIH SENGIH/IR 71146-97-1-2-1-3"
N/A,PARE PUTIH SENGIH/IR 71676-90-2-2,PARE PUTIH SENGIH,892,in standardized format,"PARE PUTIH SENGIH",IR 71146-97-1-2-1-3,893,in standardized format,"IR 71146#IR 71146-97#IR 71146-97-1#IR 71146-97-1-2#IR 71146-97-1-2-1#IR 71146-97-1-2-1-3
PARE PUTIH SENGIH/IR 71676-90-2-2"
N/A,PARE PUTIH SENGIH/IR 71701-28-1-4,PARE PUTIH SENGIH,894,in standardized format,"PARE PUTIH SENGIH",IR 71676-90-2-2,895,in standardized format,"IR 71676#IR 71676-90#IR 71676-90-2#IR 71676-90-2-2
PARE PUTIH SENGIH/IR 71701-28-1-4"
N/A,PARE PUTIH SENGIH/IR 72164-348-6-2-2-2,PARE PUTIH SENGIH,896,in standardized format,"PARE PUTIH SENGIH",IR 71701-28-1-4,897,in standardized format,"IR 71701#IR 71701-28#IR 71701-28-1#IR 71701-28-1-4
PARE PUTIH SENGIH/IR 72164-348-6-2-2-2"
N/A,PELANGAN/IR 72225-20-3-2-3,PARE PUTIH SENGIH,898,in standardized format,"PARE PUTIH SENGIH",IR 72164-348-6-2-2-2,899,in standardized format,"IR 72164#IR 72164-348#IR 72164-348-6#IR 72164-348-6-2#IR 72164-348-6-2-2#IR 72164-348-6-2-2-2
PELANGAN/IR 72225-20-3-2-3"
N/A,PELANGAN/IR 72870-19-2-2-3,PELANGAN,900,in standardized format,"PELANGAN",IR 72225-20-3-2-3,901,in standardized format,"IR 72225#IR 72225-20#IR 72225-20-3#IR 72225-20-3-2#IR 72225-20-3-2-3
PELANGAN/IR 72870-19-2-2-3"
N/A,PELANGAN/IR 72875-94-3-3-2,PELANGAN,902,in standardized format,"PELANGAN",IR 72870-19-2-2-3,903,in standardized format,"IR 72870#IR 72870-19#IR 72870-19-2#IR 72870-19-2-2#IR 72870-19-2-2-3
PELANGAN/IR 72875-94-3-3-2"
N/A,PELANGAN/IR 72903-121-2-1-2,PELANGAN,904,in standardized format,"PELANGAN",IR 72875-94-3-3-2,905,in standardized format,"IR 72875#IR 72875-94#IR 72875-94-3#IR 72875-94-3-3#IR 72875-94-3-3-2
PELANGAN/IR 72903-121-2-1-2"
N/A,BENONG 130/IR 72967-12-2-3,PELANGAN,906,in standardized format,"PELANGAN",IR 72903-121-2-1-2,907,in standardized format,"IR 72903#IR 72903-121#IR 72903-121-2#IR 72903-121-2-1#IR 72903-121-2-1-2
BENONG 130/IR 72967-12-2-3"
N/A,BENONG 130/IR 72969-143-5-3-6-2,BENONG 130,908,in standardized format,"BENONG 130",IR 72967-12-2-3,909,in standardized format,"IR 72967#IR 72967-12#IR 72967-12-2#IR 72967-12-2-3
BENONG 130/IR 72969-143-5-3-6-2"
N/A,BENONG 130/IR 73006-12-3-3-2,BENONG 130,910,in standardized format,"BENONG 130",IR 72969-143-5-3-6-2,911,in standardized format,"IR 72969#IR 72969-143#IR 72969-143-5#IR 72969-143-5-3#IR 72969-143-5-3-6#IR 72969-143-5-3-6-2
BENONG 130/IR 73006-12-3-3-2"
N/A,BENONG 130/IR 73012-137-2-2-2,BENONG 130,912,in standardized format,"BENONG 130",IR 73006-12-3-3-2,913,in standardized format,"IR 73006#IR 73006-12#IR 73006-12-3#IR 73006-12-3-3#IR 73006-12-3-3-2
BENONG 130/IR 73012-137-2-2-2"
N/A,PULUT BOLONG/IR 00A115,BENONG 130,914,in standardized format,"BENONG 130",IR 73012-137-2-2-2,915,in standardized format,"IR 73012#IR 73012-137#IR 73012-137-2#IR 73012-137-2-2#IR 73012-137-2-2-2
PULUT BOLONG/IR 00A115"
N/A,PULUT BOLONG/IR 73720-36-3-3-1,PULUT BOLONG,916,in standardized format,"PULUT BOLONG",IR 00A115,917,"IR ^00A115	;unexpected space is found#IR 00A115	;string pattern not recognized #",N/A
N/A,PULUT BOLONG/IR 00A117,PULUT BOLONG,918,in standardized format,"PULUT BOLONG",IR 73720-36-3-3-1,919,in standardized format,"IR 73720#IR 73720-36#IR 73720-36-3#IR 73720-36-3-3#IR 73720-36-3-3-1
PULUT BOLONG/IR 00A117"
N/A,PULUT BOLONG/IR 01A111,PULUT BOLONG,920,in standardized format,"PULUT BOLONG",IR 00A117,921,"IR ^00A117	;unexpected space is found#IR 00A117	;string pattern not recognized #",N/A
N/A,MAUNI/IR 01N223,PULUT BOLONG,922,in standardized format,"PULUT BOLONG",IR 01A111,923,"IR ^01A111	;unexpected space is found#IR 01A111	;string pattern not recognized #",N/A
N/A,MAUNI/IR 02N200,MAUNI,924,in standardized format,"MAUNI",IR 01N223,925,"IR ^01N223	;unexpected space is found#IR 01N223	;string pattern not recognized #",N/A
N/A,MAUNI/IR 02N211,MAUNI,926,in standardized format,"MAUNI",IR 02N200,927,"IR ^02N200	;unexpected space is found#IR 02N200	;string pattern not recognized #",N/A
N/A,MAUNI/IR 02A201,MAUNI,928,in standardized format,"MAUNI",IR 02N211,929,"IR ^02N211	;unexpected space is found#IR 02N211	;string pattern not recognized #",N/A
N/A,B 1050 D-KN-1-1-1-1-3/IR 75862-206-2-8-3-B-B-B,MAUNI,930,in standardized format,"MAUNI",IR 02A201,931,"IR ^02A201	;unexpected space is found#IR 02A201	;string pattern not recognized #",N/A
